pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
GBP_USD,long,72751,1.38261,2021-10-26 11:00:00+00:00,1.3798457142857141,2021-10-26 12:00:00+00:00,sl,-201.1,-1.02,2,False
EUR_USD,long,169001,1.1623,2021-10-26 11:00:00+00:00,1.1610621428571428,2021-10-26 13:00:00+00:00,sl,-209.2,-1.03,3,False
USD_CHF,short,143468,0.914665,2021-11-01 11:00:00+00:00,0.9121685714285714,2021-11-01 13:00:00+00:00,tp,291.4,1.44,3,True
EUR_USD,short,167453,1.1588399999999999,2021-11-02 09:00:00+00:00,1.1599525,2021-11-02 09:00:00+00:00,sl,-186.29,-1.04,1,False
USD_CHF,short,108403,0.9113049999999999,2021-11-03 12:00:00+00:00,0.9130285714285714,2021-11-03 13:00:00+00:00,sl,-204.64,-1.04,2,False
EUR_USD,short,80970,1.1571,2021-11-04 08:00:00+00:00,1.1557014285714287,2021-11-04 12:00:00+00:00,sl,151.3,0.79,5,True
GBP_USD,short,72356,1.36327,2021-11-04 11:00:00+00:00,1.36406,2021-11-04 12:00:00+00:00,sl,-57.16,-0.3,2,False
AUD_USD,short,78381,0.7411800000000001,2021-11-04 13:00:00+00:00,0.7403442857142858,2021-11-04 16:00:00+00:00,sl,125.3,0.66,4,True
AUD_USD,short,70600,0.73739,2021-11-09 16:00:00+00:00,0.73734,2021-11-10 08:00:00+00:00,sl,3.53,0.02,17,False
AUD_USD,short,59591,0.73451,2021-11-10 19:00:00+00:00,0.7315649999999999,2021-11-11 06:00:00+00:00,sl,184.11,0.94,12,True
EUR_USD,short,88352,1.1420599999999999,2021-11-15 17:00:00+00:00,1.1375542857142855,2021-11-15 20:00:00+00:00,tp,297.68,1.48,4,True
USD_CHF,long,90506,0.9219050000000001,2021-11-15 17:00:00+00:00,0.9239289285714285,2021-11-16 02:00:00+00:00,sl,195.66,0.97,10,True
AUD_USD,short,107495,0.73399,2021-11-16 06:00:00+00:00,0.73018,2021-11-16 19:00:00+00:00,tp,305.82,1.47,14,True
GBP_USD,short,100170,1.3466,2021-11-18 14:00:00+00:00,1.3488317857142857,2021-11-18 16:00:00+00:00,sl,-223.56,-1.03,3,False
EUR_USD,short,147062,1.1299,2021-11-19 10:00:00+00:00,1.13013,2021-11-19 11:00:00+00:00,sl,90.21,0.41,2,True
AUD_USD,short,94405,0.72377,2021-11-19 12:00:00+00:00,0.7260328571428571,2021-11-19 14:00:00+00:00,sl,-213.63,-1.02,3,False
USD_JPY,long,1774,114.61649999999999,2021-11-22 15:00:00+00:00,114.622,2021-11-22 16:00:00+00:00,sl,0.09,0.02,2,False
USD_JPY,long,1773,114.68849999999999,2021-11-22 17:00:00+00:00,114.97814285714287,2021-11-23 07:00:00+00:00,sl,4.45,0.99,15,True
