pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_CHF,long,68061,0.93562,2022-04-13 13:00:00+00:00,0.9330614285714286,2022-04-13 16:00:00+00:00,sl,-186.63,-1.0,4,False
EUR_USD,short,59376,1.08654,2022-04-14 12:00:00+00:00,1.0803857142857145,2022-04-14 13:00:00+00:00,tp,274.06,1.5,2,True
GBP_USD,short,44783,1.30375,2022-04-14 14:00:00+00:00,1.3078771428571427,2022-04-14 18:00:00+00:00,sl,-184.83,-1.0,5,False
USD_JPY,long,1457,125.948,2022-04-14 14:00:00+00:00,126.35521428571428,2022-04-15 05:00:00+00:00,sl,5.12,0.92,16,True
EUR_USD,short,25501,1.07706,2022-04-14 14:00:00+00:00,1.07926,2022-04-18 14:00:00+00:00,time_stop,-56.1,-0.3,49,False
AUD_USD,short,54210,0.73694,2022-04-21 17:00:00+00:00,0.7303200000000001,2022-04-22 08:00:00+00:00,tp,269.15,1.5,16,True
USD_CHF,long,41628,0.95405,2022-04-21 17:00:00+00:00,0.9571892857142857,2022-04-22 17:00:00+00:00,sl,158.22,0.88,25,True
AUD_USD,short,49327,0.71538,2022-04-26 15:00:00+00:00,0.71528,2022-04-27 01:00:00+00:00,sl,4.93,0.03,11,False
AUD_USD,short,44652,0.71243,2022-04-27 13:00:00+00:00,0.71236,2022-04-27 16:00:00+00:00,sl,3.13,0.02,4,False
AUD_USD,short,39915,0.70758,2022-04-28 13:00:00+00:00,0.71232,2022-04-29 00:00:00+00:00,sl,-189.2,-1.0,12,False
AUD_USD,short,40848,0.70838,2022-04-29 17:00:00+00:00,0.7058460714285715,2022-05-02 06:00:00+00:00,sl,145.12,0.78,14,True
GBP_USD,short,66686,1.25215,2022-05-02 16:00:00+00:00,1.250047142857143,2022-05-03 00:00:00+00:00,sl,165.75,0.87,9,True
EUR_USD,short,45247,1.05478,2022-05-05 12:00:00+00:00,1.0526910714285713,2022-05-05 17:00:00+00:00,sl,144.15,0.74,6,True
USD_JPY,long,1459,130.252,2022-05-05 14:00:00+00:00,130.262,2022-05-05 19:00:00+00:00,sl,0.11,0.02,6,False
AUD_USD,short,35551,0.71368,2022-05-05 15:00:00+00:00,0.7115257142857143,2022-05-05 20:00:00+00:00,sl,134.86,0.7,6,True
GBP_USD,short,23754,1.23944,2022-05-05 12:00:00+00:00,1.2313157142857143,2022-05-06 07:00:00+00:00,sl,191.68,1.01,20,True
GBP_USD,short,73871,1.23174,2022-05-10 08:00:00+00:00,1.2344614285714286,2022-05-10 08:00:00+00:00,sl,-201.03,-1.0,1,False
EUR_USD,short,84970,1.05394,2022-05-10 10:00:00+00:00,1.0562767857142858,2022-05-10 11:00:00+00:00,sl,-198.56,-1.0,2,False
EUR_USD,long,119663,1.05634,2022-05-11 10:00:00+00:00,1.0546857142857142,2022-05-11 10:00:00+00:00,sl,-197.96,-1.0,1,False
USD_JPY,long,1434,130.752,2022-05-11 13:00:00+00:00,130.26885714285714,2022-05-11 13:00:00+00:00,sl,-5.32,-1.0,1,False
USD_CHF,long,47839,0.99561,2022-05-11 13:00:00+00:00,0.9916114285714286,2022-05-11 13:00:00+00:00,sl,-192.91,-1.0,1,False
AUD_USD,short,21849,0.69325,2022-05-11 13:00:00+00:00,0.6974957142857143,2022-05-11 13:00:00+00:00,sl,-92.76,-1.0,1,False
USD_JPY,short,1413,128.554,2022-05-12 09:00:00+00:00,128.07396428571428,2022-05-12 14:00:00+00:00,sl,5.99,0.9,6,True
USD_JPY,short,1409,128.992,2022-05-16 06:00:00+00:00,129.3423571428571,2022-05-16 07:00:00+00:00,sl,-3.82,-1.0,2,False
