pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
USD_CHF,long,89795,0.9285450000000001,2021-10-05 15:00:00+00:00,0.9266628571428571,2021-10-05 15:00:00+00:00,sl,-182.38,-1.04,1,False
USD_JPY,long,80906,111.5505,2021-10-05 15:00:00+00:00,111.55600000000001,2021-10-06 08:00:00+00:00,sl,3.99,0.02,18,False
USD_JPY,long,65942,112.1595,2021-10-08 16:00:00+00:00,112.73785714285714,2021-10-11 05:00:00+00:00,tp,253.28,1.48,14,True
EUR_USD,short,76333,1.15254,2021-10-12 18:00:00+00:00,1.1549685714285713,2021-10-13 01:00:00+00:00,sl,-185.38,-1.02,8,False
USD_CHF,short,72352,0.926195,2021-10-13 15:00:00+00:00,0.9218442857142858,2021-10-14 06:00:00+00:00,tp,254.43,1.47,16,True
GBP_USD,long,65536,1.37456,2021-10-15 11:00:00+00:00,1.3746,2021-10-15 19:00:00+00:00,sl,88.15,0.5,9,True
EUR_USD,long,74462,1.16135,2021-10-18 18:00:00+00:00,1.1645346428571428,2021-10-19 07:00:00+00:00,sl,210.1,1.13,14,True
USD_CHF,short,70094,0.919705,2021-10-20 15:00:00+00:00,0.9183267857142857,2021-10-21 14:00:00+00:00,sl,144.87,0.76,24,True
GBP_USD,long,44612,1.38163,2021-10-20 15:00:00+00:00,1.3774371428571428,2021-10-22 08:00:00+00:00,sl,-187.05,-1.01,42,False
GBP_USD,long,67433,1.38261,2021-10-26 11:00:00+00:00,1.3798457142857141,2021-10-26 12:00:00+00:00,sl,-186.4,-1.02,2,False
GBP_USD,short,40532,1.36721,2021-10-29 17:00:00+00:00,1.36717,2021-11-01 08:00:00+00:00,sl,1.62,0.01,16,False
USD_CHF,short,81331,0.911925,2021-11-01 14:00:00+00:00,0.9104203571428572,2021-11-02 00:00:00+00:00,sl,154.25,0.86,11,True
USD_CHF,short,103352,0.9113049999999999,2021-11-03 12:00:00+00:00,0.9130285714285714,2021-11-03 13:00:00+00:00,sl,-195.1,-1.04,2,False
GBP_USD,short,68290,1.36327,2021-11-04 11:00:00+00:00,1.36406,2021-11-04 12:00:00+00:00,sl,-53.95,-0.3,2,False
EUR_USD,short,88778,1.15526,2021-11-04 09:00:00+00:00,1.1547703571428571,2021-11-04 16:00:00+00:00,sl,111.91,0.61,8,True
AUD_USD,short,73532,0.7411800000000001,2021-11-04 13:00:00+00:00,0.7403442857142858,2021-11-04 16:00:00+00:00,sl,117.55,0.66,4,True
AUD_USD,short,67061,0.73739,2021-11-09 16:00:00+00:00,0.73734,2021-11-10 08:00:00+00:00,sl,3.35,0.02,17,False
GBP_USD,short,67086,1.3509600000000002,2021-11-10 12:00:00+00:00,1.3509799999999998,2021-11-10 13:00:00+00:00,sl,-1.34,-0.01,2,False
EUR_USD,short,86254,1.15578,2021-11-10 13:00:00+00:00,1.15538,2021-11-10 14:00:00+00:00,sl,108.43,0.58,2,True
USD_CHF,long,73591,0.923535,2021-11-15 18:00:00+00:00,0.92812,2021-11-16 10:00:00+00:00,tp,271.4,1.46,17,True
AUD_USD,short,75481,0.73143,2021-11-16 15:00:00+00:00,0.7263428571428572,2021-11-17 03:00:00+00:00,tp,287.04,1.48,13,True
EUR_USD,short,138888,1.1299,2021-11-19 10:00:00+00:00,1.13013,2021-11-19 11:00:00+00:00,sl,85.19,0.41,2,True
AUD_USD,short,29719,0.70889,2021-11-30 17:00:00+00:00,0.7155957142857142,2021-12-01 03:00:00+00:00,sl,-199.29,-1.01,11,False
GBP_USD,short,22039,1.32505,2021-11-30 17:00:00+00:00,1.3340392857142855,2021-12-01 13:00:00+00:00,sl,-198.11,-1.01,21,False
USD_JPY,short,51684,112.5955,2021-12-03 19:00:00+00:00,113.01857142857142,2021-12-05 23:00:00+00:00,sl,-193.47,-1.01,5,False
USD_CHF,short,59491,0.916705,2021-12-03 19:00:00+00:00,0.9197128571428572,2021-12-06 00:00:00+00:00,sl,-194.56,-1.02,6,False
GBP_USD,short,45902,1.32186,2021-12-03 16:00:00+00:00,1.3261114285714286,2021-12-06 08:00:00+00:00,sl,-195.15,-1.01,17,False
USD_CHF,short,58037,0.9205249999999999,2021-12-08 19:00:00+00:00,0.9234642857142857,2021-12-09 12:00:00+00:00,sl,-184.73,-1.02,18,False
AUD_USD,long,101671,0.71482,2021-12-15 14:00:00+00:00,0.7130042857142856,2021-12-15 14:00:00+00:00,sl,-184.61,-1.03,1,False
EUR_USD,short,66477,1.12659,2021-12-14 17:00:00+00:00,1.12653,2021-12-15 16:00:00+00:00,sl,3.99,0.02,24,False
USD_CHF,long,63884,0.924035,2021-12-14 16:00:00+00:00,0.9256260714285713,2021-12-15 16:00:00+00:00,sl,139.89,0.8,25,True
GBP_USD,short,54564,1.32166,2021-12-15 15:00:00+00:00,1.32394,2021-12-15 20:00:00+00:00,sl,23.07,0.13,6,True
USD_CHF,short,144217,0.919705,2021-12-21 09:00:00+00:00,0.9209178571428571,2021-12-21 10:00:00+00:00,sl,-189.94,-1.06,2,False
EUR_USD,long,62477,1.13472,2021-12-29 15:00:00+00:00,1.13478,2021-12-29 16:00:00+00:00,sl,3.75,0.02,2,False
GBP_USD,long,51118,1.34752,2021-12-29 15:00:00+00:00,1.34756,2021-12-29 16:00:00+00:00,sl,2.04,0.01,2,False
EUR_USD,long,58209,1.13371,2021-12-29 17:00:00+00:00,1.13377,2021-12-30 03:00:00+00:00,sl,3.49,0.02,11,False
GBP_USD,long,31850,1.3474599999999999,2021-12-29 17:00:00+00:00,1.3475,2021-12-30 06:00:00+00:00,sl,1.27,0.01,14,False
USD_CHF,short,42830,0.9134049999999999,2021-12-29 16:00:00+00:00,0.9171442857142857,2021-12-30 06:00:00+00:00,sl,-174.62,-1.02,15,False
USD_CHF,short,79537,0.9136249999999999,2021-12-30 13:00:00+00:00,0.9156271428571429,2021-12-30 13:00:00+00:00,sl,-173.92,-1.04,1,False
EUR_USD,long,46265,1.13866,2021-12-31 18:00:00+00:00,1.135052857142857,2022-01-03 01:00:00+00:00,sl,-166.88,-1.01,8,False
GBP_USD,long,63437,1.3512,2022-01-04 10:00:00+00:00,1.3485628571428572,2022-01-04 11:00:00+00:00,sl,-167.29,-1.02,2,False
AUD_USD,long,62098,0.72465,2022-01-04 16:00:00+00:00,0.725645,2022-01-05 16:00:00+00:00,sl,107.85,0.69,25,True
USD_CHF,long,80412,0.919555,2022-01-06 09:00:00+00:00,0.9175885714285714,2022-01-06 10:00:00+00:00,sl,-172.33,-1.04,2,False
USD_CHF,long,83515,0.9221750000000001,2022-01-10 12:00:00+00:00,0.9255028571428572,2022-01-10 14:00:00+00:00,tp,223.67,1.45,3,True
USD_JPY,short,82280,114.2565,2022-01-19 07:00:00+00:00,114.48142857142857,2022-01-19 09:00:00+00:00,sl,-161.66,-1.02,3,False
GBP_USD,long,50063,1.36438,2022-01-19 15:00:00+00:00,1.361122857142857,2022-01-19 22:00:00+00:00,sl,-163.06,-1.02,8,False
USD_CHF,short,72958,0.912365,2022-01-21 10:00:00+00:00,0.91234,2022-01-21 16:00:00+00:00,sl,2.0,0.01,7,False
